risk_id,canonical_id,privilege_risk_component,behavioural_risk_component,identity_risk_component,compliance_risk_component,final_risk_score,risk_tier,risk_drivers,previous_risk_score,score_delta,computed_timestamp,evidence,root_cause,business_impact,detection_method
38b27900-f3f2-48a8-8002-0552d804b154,05c8234b-1d76-3a66-b5f5-9cb0cf685878,10.67,3.24,0.44,0.0,4.96,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=2.63 logins/30d across 3 platform(s),Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 3 platform(s). No immediate action required.,NONE
9aaaf7b3-8b2d-489f-a4f3-8acd1d903a89,061efb95-68f8-2063-eeb1-9ad201a1fb0f,10.67,12.41,32.89,0.0,14.65,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 2 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 2 platform(s). No immediate action required.,NONE
c13952a1-2dc0-4ffa-9d63-868d3a350d62,06a241af-1d0a-f7f7-f5e4-a4713fe68c9c,28.17,31.22,0.44,0.0,20.88,LOW,"[""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,login_frequency=4.19 logins/30d across 5 platform(s),Elevated behavioural anomaly across 5 platform(s) with 10 effective privileges.,Low risk — standard profile with 10 effective privileges across 5 platform(s). No immediate action required.,IF_PREDICT
2cd37e79-65ad-4f8d-b34b-f38d9831a4b3,06e3f949-8cd3-4c62-c482-9b71ae84b81c,22.95,6.41,0.67,0.0,10.41,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=2.71 logins/30d across 4 platform(s),Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,NONE
654c9636-c063-48ed-9cd4-7820cb35d548,085eb489-4ac6-6780-3874-9f3cc2d49b56,50.94,50.82,0.67,82.78,44.02,MEDIUM,"[""anomaly_model_flag"", ""offboarding_gap"", ""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,ensemble_anomaly_score=0.443 (flagged by IsolationForest + LOF + Autoencoder); offboarding_gap_score=0.83 (compliance_status=NON_COMPLIANT); holds effective privileges on CRITICAL-rated resources,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.83. Access was not revoked on schedule.,Moderate risk — 16 effective privileges with 6% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,ML_ENSEMBLE|IF_PREDICT|DOMAIN_RULE
52312333-78bb-4e18-a502-e7bb3ddb1b0e,098c60b3-efc9-909e-d9af-6e09b91e3d6e,32.95,12.46,30.67,0.0,22.03,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,NONE
03ba601a-e56c-44d5-a37d-607dec8348b0,09a0a0f6-73b0-a091-7634-c1694f76e388,28.17,30.46,0.67,0.0,20.65,LOW,"[""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,login_frequency=4.19 logins/30d across 5 platform(s),Elevated behavioural anomaly across 5 platform(s) with 10 effective privileges.,Low risk — standard profile with 10 effective privileges across 5 platform(s). No immediate action required.,NONE
c57fa1c6-1bd3-4717-9e2e-24c09d807d3f,09b7fdf7-7d8d-3ddd-2cf1-49cb4f1e1a37,2.67,19.59,42.89,0.0,16.37,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 1 platform(s) with 1 effective privileges.,Low risk — standard profile with 1 effective privileges across 1 platform(s). No immediate action required.,NONE
e0e1f834-c173-4614-9a21-a1c8a6410aa0,0a0537f0-2c2c-d22b-a568-95c6812a1f9b,30.7,39.6,0.67,90.56,33.79,MEDIUM,"[""offboarding_gap""]",,,2026-06-21 15:10:28,offboarding_gap_score=0.91 (compliance_status=NON_COMPLIANT),Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.91. Access was not revoked on schedule.,Moderate risk — 11 effective privileges with 9% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,IF_PREDICT|DOMAIN_RULE
0ef5a6cc-0d71-4101-a8b6-b25b85f15809,0ab54bde-20a0-4502-6e06-809725e97977,18.67,9.45,0.44,0.0,9.93,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=3.12 logins/30d across 4 platform(s),Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,NONE
a6daf94c-116c-45c5-8f23-2d437874f117,0ba6eab9-4639-447b-2067-bdac88bd13d1,78.25,22.13,0.67,0.0,35.27,MEDIUM,"[""excessive_admin_privileges""]",,,2026-06-21 15:10:28,admin_role_count=12 (100% of 12 privileges are ADMIN/FULL_CONTROL); holds effective privileges on CRITICAL-rated resources,Identity holds 12 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 8% are provisioned but unused — classic over-provisioning.,Moderate risk — 12 effective privileges with 8% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,NONE
89a1b91c-e387-4bcd-99ed-7b1afd50f2e9,0c3ce284-c7e5-3bbb-dcb5-1c535b62a8df,48.13,38.42,1.78,93.33,39.98,MEDIUM,"[""offboarding_gap"", ""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,offboarding_gap_score=0.93 (compliance_status=NON_COMPLIANT); holds effective privileges on CRITICAL-rated resources,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.93. Access was not revoked on schedule.,Moderate risk — 13 effective privileges with 23% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,IF_PREDICT|DOMAIN_RULE
52431294-8d58-4a64-9331-279dcc640acf,0cf697a5-7603-c36c-f139-4e3c0aee2557,8.0,8.85,40.44,0.0,13.99,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,Low risk — standard profile with 3 effective privileges across 1 platform(s). No immediate action required.,NONE
5e847638-9835-433f-a8ff-f349ac19c738,0d259caa-b8ad-ad87-3a40-45dd93dfd907,8.0,9.56,0.44,0.0,6.24,LOW,"[""behavioural_risk""]",,,2026-06-21 15:10:28,login_frequency=1.97 logins/30d across 2 platform(s),Elevated behavioural anomaly across 2 platform(s) with 3 effective privileges.,Low risk — standard profile with 3 effective privileges across 2 platform(s). No immediate action required.,NONE
4576319f-185c-4fd7-99b1-5b63ef806f71,0d31812e-30c3-6756-d453-f867b97e6224,88.33,50.84,30.89,0.0,63.12,HIGH,"[""excessive_admin_privileges"", ""mfa_disabled"", ""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,admin_role_count=27 (100% of 27 privileges are ADMIN/FULL_CONTROL); MFA disabled on at least one platform account; ensemble_anomaly_score=0.397 (flagged by IsolationForest + LOF + Autoencoder); holds effective privileges on CRITICAL-rated resources,Identity holds 27 ADMIN/FULL_CONTROL privileges across 4 resource platform(s); 22% are provisioned but unused — classic over-provisioning.,"High-risk identity with significant privilege exposure (27 effective privileges, 27 admin-tier). Exploitation could grant an attacker persistent access across 4 platform(s). Remediate within 24 hours.",ML_ENSEMBLE|IF_PREDICT
7879ca2b-f022-4563-852a-b8ef6541859a,0e165b12-9bdc-70d1-9cbf-7b8c74102d5d,10.67,2.06,30.44,0.0,10.54,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 3 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 3 platform(s). No immediate action required.,NONE
8493912f-9efc-4036-a908-98f2f7c8fa80,0e5dd462-cbd0-0ef2-530a-37df0bc61066,10.67,18.76,42.44,100.0,28.79,LOW,"[""mfa_disabled"", ""offboarding_gap""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account; offboarding_gap_score=1.00 (compliance_status=NON_COMPLIANT),Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=1.00. Access was not revoked on schedule.,Low risk — standard profile with 4 effective privileges across 3 platform(s). No immediate action required.,DOMAIN_RULE
e4bea829-7eae-4f80-a630-87e9f6203efc,0eaf04b5-f2a9-dc8a-ca9e-4a62fae3114b,26.67,23.11,31.11,0.0,23.65,LOW,"[""mfa_disabled"", ""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 5 platform(s) with 10 effective privileges.,Low risk — standard profile with 10 effective privileges across 5 platform(s). No immediate action required.,NONE
844016f0-94da-40ce-a77a-f0f1fb6cd8d2,0f6ce9bf-fe7e-e362-8a89-b0f0105291d3,26.0,5.6,30.89,0.0,17.24,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Elevated identity hygiene failure across 3 platform(s) with 6 effective privileges.,Low risk — standard profile with 6 effective privileges across 3 platform(s). No immediate action required.,NONE
cc9b2677-8470-456a-81ef-4ede81a4e99d,0fc98d2e-030f-9be9-1f17-8f9323c97a1e,8.0,10.11,41.33,0.0,14.61,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,Low risk — standard profile with 3 effective privileges across 1 platform(s). No immediate action required.,NONE
6c748d8c-2b53-4793-82be-124f12e91e94,118a9d29-2f92-3996-d9f1-95d014822f53,10.67,2.48,0.89,0.0,4.78,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=2.14 logins/30d across 3 platform(s),Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 3 platform(s). No immediate action required.,NONE
8e527b88-3768-4421-b949-c0ec45d544e0,1238d630-743b-65a2-dc0f-2fcfb3f6fe0d,10.67,5.39,0.44,0.0,5.71,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=1.81 logins/30d across 2 platform(s),Elevated privilege misconfiguration across 2 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 2 platform(s). No immediate action required.,NONE
3c10d4b7-d200-4bef-bd28-bf7e9c42280e,13325c31-d010-318a-eadc-9960424211e2,8.0,10.11,41.33,0.0,14.61,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,Low risk — standard profile with 3 effective privileges across 1 platform(s). No immediate action required.,NONE
14fe3b19-89ab-45ba-b19d-cf382b36b8c8,13aec376-c359-810a-71a6-014c5f3c44dc,26.0,26.06,30.67,0.0,24.35,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Elevated identity hygiene failure across 3 platform(s) with 6 effective privileges.,Low risk — standard profile with 6 effective privileges across 3 platform(s). No immediate action required.,NONE
0e998fa0-ec51-45af-bb01-8e13b8ca1cee,14a34f7f-d90d-d19b-d3fb-e043af1d5a1a,18.67,22.79,0.44,0.0,14.6,LOW,"[""behavioural_risk""]",,,2026-06-21 15:10:28,login_frequency=5.26 logins/30d across 4 platform(s),Elevated behavioural anomaly across 4 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,DOMAIN_RULE
37990f14-fdcb-4dc2-acbc-94cde0cfe3e7,1578d709-48f9-e3d0-1fea-e1e0d9e604b3,35.82,19.86,30.44,0.0,25.58,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated privilege misconfiguration across 4 platform(s) with 13 effective privileges.,Low risk — standard profile with 13 effective privileges across 4 platform(s). No immediate action required.,NONE
c5bc8990-d0b8-44e8-9229-e6a8023b4695,15fa9483-f633-cc2d-eba9-00e16a7d5d96,18.67,25.6,32.0,100.0,31.89,MEDIUM,"[""mfa_disabled"", ""offboarding_gap""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account; offboarding_gap_score=1.00 (compliance_status=NON_COMPLIANT),Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=1.00. Access was not revoked on schedule.,Moderate risk — 7 effective privileges with 0% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,DOMAIN_RULE
2989e874-348e-4c39-9fea-65338b0cb232,16591c89-21eb-faa9-1a2b-d69c450f69ee,18.67,21.16,1.11,78.89,22.05,LOW,"[""offboarding_gap""]",,,2026-06-21 15:10:28,offboarding_gap_score=0.79 (compliance_status=NON_COMPLIANT),Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.79. Access was not revoked on schedule.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,DOMAIN_RULE
b58d30ef-1000-4e24-9849-4554d62e93f4,1674eb65-0f9c-5300-7aa1-c5678cf9eea9,15.0,32.71,40.44,0.0,24.79,LOW,"[""high_unused_privilege_ratio"", ""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 1 platform(s) with 0 effective privileges.,Low risk — standard profile with 0 effective privileges across 1 platform(s). No immediate action required.,IF_PREDICT
d66eb606-1e51-49f4-854a-49c0ed2cce8f,170d7507-05ee-e1d4-7f53-a88e4efc8248,53.9,24.31,31.11,0.0,33.59,MEDIUM,"[""mfa_disabled"", ""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,admin_role_count=3 (23% of 13 privileges are ADMIN/FULL_CONTROL); MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Elevated privilege misconfiguration across 4 platform(s) with 13 effective privileges.,Moderate risk — 13 effective privileges with 8% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,NONE
96166d75-f826-422e-9e39-ca24b2c5ac54,17e52113-4626-23be-e068-8849eec71a30,77.0,24.81,0.67,0.0,35.77,MEDIUM,"[""excessive_admin_privileges""]",,,2026-06-21 15:10:28,admin_role_count=12 (100% of 12 privileges are ADMIN/FULL_CONTROL); holds effective privileges on CRITICAL-rated resources,Identity holds 12 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,Moderate risk — 12 effective privileges with 0% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,NONE
3f60f89b-b9b0-4eea-bc85-321ce213f947,17e8392a-55ce-e5db-9e87-e04ca2086977,87.0,55.36,42.22,0.0,67.01,HIGH,"[""excessive_admin_privileges"", ""high_unused_privilege_ratio"", ""dormant_account"", ""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,admin_role_count=12 (100% of 12 privileges are ADMIN/FULL_CONTROL); dormant_days=145 (no activity for 145 days); ensemble_anomaly_score=0.359 (flagged by IsolationForest + LOF + Autoencoder); holds effective privileges on CRITICAL-rated resources,Identity holds 12 ADMIN/FULL_CONTROL privileges across 4 resource platform(s); 67% are provisioned but unused — classic over-provisioning.,"High-risk identity with significant privilege exposure (12 effective privileges, 12 admin-tier). Exploitation could grant an attacker persistent access across 4 platform(s). Remediate within 24 hours.",ML_ENSEMBLE|IF_PREDICT
57eebed4-05ec-4812-9200-d6d94ee51376,183fea70-3ff6-579e-8cd4-b90abf8211bc,8.0,8.85,40.44,0.0,13.99,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,Low risk — standard profile with 3 effective privileges across 1 platform(s). No immediate action required.,NONE
3ed20e90-ebcb-49dd-8a14-d4eb47166827,18fdd2b9-79e5-c9aa-592a-35497ba109d0,73.83,37.51,70.44,0.0,53.06,MEDIUM,"[""excessive_admin_privileges"", ""high_unused_privilege_ratio"", ""mfa_disabled"", ""dormant_account""]",,,2026-06-21 15:10:28,admin_role_count=8 (100% of 8 privileges are ADMIN/FULL_CONTROL); dormant_days=137 (no activity for 137 days); MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Identity holds 8 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 50% are provisioned but unused — classic over-provisioning.,Moderate risk — 8 effective privileges with 50% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,IF_PREDICT
5836f24a-8a13-48fe-b1e9-af6d893aa06b,1986b4b2-70b7-e868-d854-80f0dfcaf0b7,90.0,54.52,2.0,0.0,58.63,MEDIUM,"[""excessive_admin_privileges"", ""anomaly_model_flag""]",,,2026-06-21 15:10:28,admin_role_count=18 (100% of 18 privileges are ADMIN/FULL_CONTROL); ensemble_anomaly_score=0.434 (flagged by IsolationForest + LOF + Autoencoder); holds effective privileges on CRITICAL-rated resources,Identity holds 18 ADMIN/FULL_CONTROL privileges across 2 resource platform(s); 33% are provisioned but unused — classic over-provisioning.,Moderate risk — 18 effective privileges with 33% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,ML_ENSEMBLE|IF_PREDICT
778a573a-1f2b-4fae-ae6b-a96559da0380,1a432f0a-7daa-39f0-c0b6-fce2de53790a,10.67,3.94,30.89,0.0,11.29,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 3 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 3 platform(s). No immediate action required.,NONE
e81248a3-927c-417f-ac81-211f3f6d4f13,1c0f0bdc-ac7e-937c-54cc-1e2a5e4cb287,58.33,12.23,0.44,0.0,24.79,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,admin_role_count=5 (100% of 5 privileges are ADMIN/FULL_CONTROL); holds effective privileges on CRITICAL-rated resources,Identity holds 5 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,Low risk — standard profile with 5 effective privileges across 3 platform(s). No immediate action required.,NONE
ae03346a-1d50-44fe-868e-a899cde04475,1ca3c448-0279-b6a6-8f97-97b06d7ce3c9,20.81,15.07,30.44,0.0,18.65,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 4 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,NONE
347d5874-8629-4b73-9ec7-e37d27a091a2,1dde7969-6886-13db-a634-8e784d5c55c7,58.33,26.17,32.44,100.0,46.07,MEDIUM,"[""mfa_disabled"", ""offboarding_gap""]",,,2026-06-21 15:10:28,admin_role_count=5 (100% of 5 privileges are ADMIN/FULL_CONTROL); MFA disabled on at least one platform account; offboarding_gap_score=1.00 (compliance_status=NON_COMPLIANT); holds effective privileges on CRITICAL-rated resources,Identity holds 5 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,Moderate risk — 5 effective privileges with 0% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,DOMAIN_RULE
63c8a4ea-e5a8-410c-a42e-98b72d651c12,1e5ebe54-5907-7299-dc3b-bdd8a74e02a9,79.17,51.2,46.89,0.0,63.26,HIGH,"[""excessive_admin_privileges"", ""high_unused_privilege_ratio"", ""dormant_account""]",,,2026-06-21 15:10:28,admin_role_count=10 (100% of 10 privileges are ADMIN/FULL_CONTROL); dormant_days=166 (no activity for 166 days); ensemble_anomaly_score=0.343 (flagged by IsolationForest + LOF + Autoencoder); holds effective privileges on CRITICAL-rated resources,Identity holds 10 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 50% are provisioned but unused — classic over-provisioning.,"High-risk identity with significant privilege exposure (10 effective privileges, 10 admin-tier). Exploitation could grant an attacker persistent access across 3 platform(s). Remediate within 24 hours.",ML_ENSEMBLE|IF_PREDICT
d07b0615-6046-4d78-b28b-09770c167eab,1eb74b56-53ff-d3a2-4a19-35014169b9fc,20.81,9.04,30.67,0.0,16.58,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 4 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,NONE
65951620-96a3-43d4-b799-d0e86f888445,1f5df912-54e0-7431-cf13-3b65d450afa2,15.0,39.59,40.67,0.0,27.24,LOW,"[""high_unused_privilege_ratio"", ""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account; ensemble_anomaly_score=0.336 (flagged by IsolationForest + LOF + Autoencoder),Elevated identity hygiene failure across 1 platform(s) with 0 effective privileges.,Low risk — standard profile with 0 effective privileges across 1 platform(s). No immediate action required.,ML_ENSEMBLE|IF_PREDICT
5afba0b9-2caf-4309-a340-69b19bf0f6e9,20509c62-08e8-95d7-702c-1821c8040fb7,29.67,24.14,30.89,0.0,25.01,LOW,"[""mfa_disabled"", ""high_cross_platform_exposure""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 5 platform(s) with 10 effective privileges.,Low risk — standard profile with 10 effective privileges across 5 platform(s). No immediate action required.,NONE
a58ac84c-ecbb-45f4-97ba-284d201cbdf0,21084dd9-f75d-1e3c-c48d-56502e9522d6,66.33,45.07,30.67,0.0,45.12,MEDIUM,"[""excessive_admin_privileges"", ""mfa_disabled"", ""rapid_privilege_changes""]",,,2026-06-21 15:10:28,admin_role_count=8 (100% of 8 privileges are ADMIN/FULL_CONTROL); MFA disabled on at least one platform account; ensemble_anomaly_score=0.372 (flagged by IsolationForest + LOF + Autoencoder); holds effective privileges on CRITICAL-rated resources,Identity holds 8 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,Moderate risk — 8 effective privileges with 0% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,ML_ENSEMBLE|IF_PREDICT
8db35545-924b-4266-b33f-b49ff90ba78e,22ab7752-c4db-5a62-2e13-418d68ab80ea,18.5,20.51,32.44,0.0,20.14,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 3 platform(s) with 6 effective privileges.,Low risk — standard profile with 6 effective privileges across 3 platform(s). No immediate action required.,NONE
