action_id,incident_id,identity_id,canonical_id,action_type,recommended_action,priority,action_priority,affected_resource_id,estimated_risk_reduction,blast_radius_reduction,justification,estimated_effort,requires_approval,compliance_frameworks,status,generated_timestamp,llm_rationale
8c566211-533c-40b5-8c9d-ee12d0b65971,,118a9d29-2f92-3996-d9f1-95d014822f53,118a9d29-2f92-3996-d9f1-95d014822f53,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,16.53,0.0,Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
36d38d37-9e23-4744-a1cc-71097438c505,,1238d630-743b-65a2-dc0f-2fcfb3f6fe0d,1238d630-743b-65a2-dc0f-2fcfb3f6fe0d,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,14.73,0.0,Elevated privilege misconfiguration across 2 platform(s) with 4 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
9b2eaeda-03f9-4fd2-9eb4-11e2c0577c2a,,13325c31-d010-318a-eadc-9960424211e2,13325c31-d010-318a-eadc-9960424211e2,ENFORCE_MFA,ENFORCE_MFA,P4,low,,43.24,0.0,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
3ef4dcf5-525a-46b7-a554-29d6dc3b1676,,13aec376-c359-810a-71a6-014c5f3c44dc,13aec376-c359-810a-71a6-014c5f3c44dc,ENFORCE_MFA,ENFORCE_MFA,P4,low,,23.25,0.0,Elevated identity hygiene failure across 3 platform(s) with 6 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
c542b327-ff00-4d89-88e9-c04db5828c92,,14a34f7f-d90d-d19b-d3fb-e043af1d5a1a,14a34f7f-d90d-d19b-d3fb-e043af1d5a1a,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,11.68,0.0,Elevated behavioural anomaly across 4 platform(s) with 7 effective privileges. Detection was triggered by a deterministic IAM governance rule (not an ML model).,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
689d0be7-f321-4770-9393-31e12fa1a1cc,,1578d709-48f9-e3d0-1fea-e1e0d9e604b3,1578d709-48f9-e3d0-1fea-e1e0d9e604b3,ENFORCE_MFA,ENFORCE_MFA,P4,low,,20.74,0.0,Elevated privilege misconfiguration across 4 platform(s) with 13 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
ff8ea8c9-178f-48d4-ad4b-da9c596af979,,15fa9483-f633-cc2d-eba9-00e16a7d5d96,15fa9483-f633-cc2d-eba9-00e16a7d5d96,ENFORCE_MFA,ENFORCE_MFA,P2,high,,18.26,0.0,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=1.00. Access was not revoked on schedule. Detection was triggered by a deterministic IAM governance rule (not an ML model).,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
844459fa-503d-46ff-999c-6a0a9b400998,,16591c89-21eb-faa9-1a2b-d69c450f69ee,16591c89-21eb-faa9-1a2b-d69c450f69ee,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,7.61,0.0,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.79. Access was not revoked on schedule. Detection was triggered by a deterministic IAM governance rule (not an ML model).,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
bf06676a-c9d3-4ddd-8d22-8e9eb69f257a,,1674eb65-0f9c-5300-7aa1-c5678cf9eea9,1674eb65-0f9c-5300-7aa1-c5678cf9eea9,ENFORCE_MFA,ENFORCE_MFA,P4,low,,29.77,0.0,Elevated identity hygiene failure across 1 platform(s) with 0 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
165188c6-01fd-4799-bb8b-87c7ecbf0680,,170d7507-05ee-e1d4-7f53-a88e4efc8248,170d7507-05ee-e1d4-7f53-a88e4efc8248,ENFORCE_MFA,ENFORCE_MFA,P2,high,,16.77,0.0,Elevated privilege misconfiguration across 4 platform(s) with 13 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
b1860c12-2dc7-4127-84e9-5c17b5d2842f,,17e52113-4626-23be-e068-8849eec71a30,17e52113-4626-23be-e068-8849eec71a30,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P3,medium,,16.28,0.0,Identity holds 12 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
e31aa530-2d20-490e-a83c-bde1ff88b494,f82b363a-6ba2-4472-8199-34e74967a59e,17e8392a-55ce-e5db-9e87-e04ca2086977,17e8392a-55ce-e5db-9e87-e04ca2086977,REVOKE_ROLE,REVOKE_ROLE,P2,high,RES-fc377a4c-4a15-544d-c5e7-ce8a3a578a8e,30.86,31.25,Identity holds 12 ADMIN/FULL_CONTROL privileges across 4 resource platform(s); 67% are provisioned but unused — classic over-provisioning.,moderate,True,"[""NIST-AC-6"", ""NIST-AC-6(1)"", ""CIS-5.4"", ""CIS-6.8"", ""ISO-A.9.2.2"", ""ISO-A.9.2.5"", ""SOX-ITGC-AC""]",RECOMMENDED,2026-06-21 14:36:33,
98476843-adc6-4f34-8777-3fbf58289758,,183fea70-3ff6-579e-8cd4-b90abf8211bc,183fea70-3ff6-579e-8cd4-b90abf8211bc,ENFORCE_MFA,ENFORCE_MFA,P4,low,,43.79,0.0,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
6e21bbbd-e2b5-48e4-8640-9c7b412efd63,,18fdd2b9-79e5-c9aa-592a-35497ba109d0,18fdd2b9-79e5-c9aa-592a-35497ba109d0,ENFORCE_MFA,ENFORCE_MFA,P2,high,,22.3,0.0,Identity holds 8 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 50% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
9393927e-f446-4908-8b87-3c5577b4d38e,ec648db2-4027-443c-922d-cd642ddcbe21,1986b4b2-70b7-e868-d854-80f0dfcaf0b7,1986b4b2-70b7-e868-d854-80f0dfcaf0b7,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P3,medium,,12.37,0.0,Identity holds 18 ADMIN/FULL_CONTROL privileges across 2 resource platform(s); 33% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
6456c1fd-5273-4541-9cac-1716db044b4a,,1a432f0a-7daa-39f0-c0b6-fce2de53790a,1a432f0a-7daa-39f0-c0b6-fce2de53790a,ENFORCE_MFA,ENFORCE_MFA,P4,low,,40.14,0.0,Elevated identity hygiene failure across 3 platform(s) with 4 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
99df0e81-66de-48a5-84f8-365574c65887,,1c0f0bdc-ac7e-937c-54cc-1e2a5e4cb287,1c0f0bdc-ac7e-937c-54cc-1e2a5e4cb287,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,17.33,0.0,Identity holds 5 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
e46b308a-cd1f-4367-a96e-3b6b5028d92a,,1ca3c448-0279-b6a6-8f97-97b06d7ce3c9,1ca3c448-0279-b6a6-8f97-97b06d7ce3c9,ENFORCE_MFA,ENFORCE_MFA,P4,low,,27.09,0.0,Elevated identity hygiene failure across 4 platform(s) with 7 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
